114, 0.072, 12.33
115, 0.073, 12.34
116, 0.089, 12.33
117, 0.074, 12.34
118, 0.081, 12.33
119, 0.095, 12.31
120, 0.085, 12.31
121, 0.079, 12.31
122, 0.083, 12.31
123, 0.109, 12.27
124, 0.082, 12.27
125, 0.094, 12.25
126, 0.084, 12.25
127, 0.101, 12.23
128, 0.081, 12.22
129, 0.066, 12.23
130, 0.090, 12.22
131, 0.117, 12.18
132, 0.074, 12.19
133, 0.101, 12.17
134, 0.097, 12.15
135, 0.087, 12.15
136, 0.060, 12.17
137, 0.058, 12.20
138, 0.084, 12.19
139, 0.077, 12.20
140, 0.085, 12.19
141, 0.097, 12.18
142, 0.059, 12.20
143, 0.061, 12.22
144, 0.110, 12.19
145, 0.086, 12.18
146, 0.101, 12.16
147, 0.103, 12.14
148, 0.068, 12.15
149, 0.055, 12.18
150, 0.062, 12.20
151, 0.094, 12.19
152, 0.059, 12.21
153, 0.074, 12.21
154, 0.111, 12.19
155, 0.076, 12.19
156, 0.065, 12.21
157, 0.095, 12.19
158, 0.076, 12.20
159, 0.074, 12.21
160, 0.103, 12.19
161, 0.086, 12.18
162, 0.055, 12.21
163, 0.100, 12.19
164, 0.098, 12.18
165, 0.064, 12.19
166, 0.087, 12.19
167, 0.084, 12.18
168, 0.070, 12.19
169, 0.090, 12.19
170, 0.057, 12.21
171, 0.071, 12.22
172, 0.099, 12.20
173, 0.054, 12.22
174, 0.071, 12.23
175, 0.074, 12.24
176, 0.074, 12.25
177, 0.098, 12.23
178, 0.053, 12.25
179, 0.084, 12.25
180, 0.071, 12.26
181, 0.083, 12.26
182, 0.093, 12.25
183, 0.060, 12.27
184, 0.092, 12.26
185, 0.069, 12.27
186, 0.074, 12.27
187, 0.084, 12.27
188, 0.084, 12.27
189, 0.094, 12.26
190, 0.081, 12.26
191, 0.097, 12.25
192, 0.088, 12.24
193, 0.079, 12.24
194, 0.089, 12.23
195, 0.069, 12.24
196, 0.098, 12.23
197, 0.067, 12.24
198, 0.081, 12.24
199, 0.126, 12.21
200, 0.074, 12.21
201, 0.083, 12.21
202, 0.068, 12.21
203, 0.110, 12.19
204, 0.089, 12.19
205, 0.073, 12.19
206, 0.093, 12.18
207, 0.096, 12.17
208, 0.091, 12.16
209, 0.082, 12.16
210, 0.080, 12.16
211, 0.077, 12.17
212, 0.098, 12.15
213, 0.085, 12.15
214, 0.095, 12.14
215, 0.097, 12.13
216, 0.047, 12.16
217, 0.084, 12.16
218, 0.042, 12.18
219, 0.110, 12.16
220, 0.092, 12.15
221, 0.103, 12.13
222, 0.063, 12.15
223, 0.076, 12.15
224, 0.097, 12.14
225, 0.095, 12.13
226, 0.077, 12.13
227, 0.091, 12.12
228, 0.082, 12.12
229, 0.078, 12.13
230, 0.110, 12.11
231, 0.097, 12.10
232, 0.078, 12.10
233, 0.080, 12.10
234, 0.076, 12.11
235, 0.097, 12.10
236, 0.098, 12.09
237, 0.093, 12.08
238, 0.102, 12.07
239, 0.098, 12.06
240, 0.062, 12.07
241, 0.065, 12.08
242, 0.151, 12.04
243, 0.071, 12.05
244, 0.099, 12.04
245, 0.107, 12.02
246, 0.084, 12.02
247, 0.102, 12.01
248, 0.068, 12.02
249, 0.097, 12.01
250, 0.105, 12.00
251, 0.069, 12.00
252, 0.068, 12.01
253, 0.075, 12.02
254, 0.098, 12.01
255, 0.089, 12.00
256, 0.098, 11.99
257, 0.070, 12.00
258, 0.069, 12.01
259, 0.092, 12.00
260, 0.057, 12.02
261, 0.096, 12.01
262, 0.080, 12.01
263, 0.093, 12.01
264, 0.108, 11.99
265, 0.090, 11.98
266, 0.072, 11.99
267, 0.060, 12.00
268, 0.094, 11.99
269, 0.073, 11.99
270, 0.079, 12.00
271, 0.093, 11.99
272, 0.079, 11.99
273, 0.126, 11.97
274, 0.087, 11.97
275, 0.097, 11.96
276, 0.044, 11.98
277, 0.055, 12.00
278, 0.073, 12.00
279, 0.088, 12.00
280, 0.075, 12.00
281, 0.082, 12.00
282, 0.102, 11.99
283, 0.111, 11.98
284, 0.090, 11.97
